timestamp,value
2023-10-07,1.467063829787234
2023-10-08,1.457659574468085
2023-10-09,1.4576595744680851
2023-10-10,1.457659574468085
2023-10-11,1.4482553191489362
2023-10-12,1.4529574468085107
2023-10-13,1.4482553191489362
2023-10-14,1.467063829787234
2023-10-15,1.4388510638297871
2023-10-16,1.467063829787234
2023-10-17,1.4482553191489362
2023-10-18,1.4623617021276596
2023-10-19,1.467063829787234
2023-10-20,1.467063829787234
2023-10-21,1.4623617021276596
2023-10-22,1.457659574468085
2023-10-23,1.4388510638297871
2023-10-24,1.4576595744680851
2023-10-25,1.4482553191489362
2023-10-26,1.467063829787234
2023-10-27,1.4623617021276596
2023-10-28,1.457659574468085
2023-10-29,1.4482553191489362
2023-10-30,1.4576595744680851
2023-10-31,1.457659574468085
2023-11-01,1.457659574468085
